id,prediction
666677,17.927734375
666678,18.916015625
666679,20.095703125
666680,18.5625
666681,18.111328125
666682,20.599609375
666683,18.138671875
666684,17.912109375
666685,18.96484375
666686,20.12109375
666687,18.58984375
666688,18.154296875
666689,20.630859375
666690,18.158203125
666691,17.916015625
666692,19.017578125
666693,20.158203125
666694,18.640625
666695,18.26953125
666696,20.681640625
666697,18.216796875
666698,17.935546875
666699,19.1171875
666700,20.232421875
666701,18.671875
666702,18.361328125
666703,20.7421875
666704,18.248046875
666705,18.654296875
666706,19.966796875
666707,21.03125
666708,19.5234375
666709,19.18359375
666710,21.568359375
666711,19.091796875
666712,17.880859375
666713,19.349609375
666714,20.294921875
666715,18.7421875
666716,18.435546875
666717,20.693359375
666718,18.314453125
666719,17.837890625
666720,19.310546875
666721,20.16015625
666722,18.69921875
666723,18.419921875
666724,20.650390625
666725,18.271484375
666726,17.728515625
666727,19.166015625
666728,20.119140625
666729,18.609375
666730,18.400390625
666731,20.541015625
666732,18.1875
666733,17.720703125
666734,19.177734375
666735,20.041015625
666736,18.6171875
666737,18.427734375
666738,20.533203125
666739,18.203125
666740,17.732421875
666741,19.115234375
666742,20.0234375
666743,18.634765625
666744,18.396484375
666745,20.544921875
666746,18.201171875
666747,17.650390625
666748,19.07421875
666749,19.826171875
666750,18.576171875
666751,18.32421875
666752,20.462890625
666753,18.140625
666754,17.599609375
666755,18.921875
666756,19.740234375
666757,18.54296875
666758,18.185546875
666759,20.376953125
666760,18.091796875
666761,17.603515625
666762,18.92578125
666763,19.748046875
666764,18.59375
666765,18.23046875
666766,20.416015625
666767,18.11328125
666768,17.548828125
666769,18.8125
666770,19.712890625
666771,18.591796875
666772,18.123046875
666773,20.412109375
666774,18.134765625
666775,17.244140625
666776,18.478515625
666777,19.357421875
666778,18.244140625
666779,17.798828125
666780,20.07421875
666781,17.787109375
666782,17.529296875
666783,18.546875
666784,19.615234375
666785,18.494140625
666786,18.009765625
666787,20.361328125
666788,18.041015625
666789,17.423828125
666790,18.3828125
666791,19.451171875
666792,18.341796875
666793,17.822265625
666794,20.197265625
666795,17.88671875
666796,17.572265625
666797,18.5546875
666798,19.654296875
666799,18.474609375
666800,18.01953125
666801,20.390625
666802,18.029296875
666803,17.521484375
666804,18.4609375
666805,19.642578125
666806,18.392578125
666807,17.763671875
666808,20.4140625
666809,17.935546875
666810,17.623046875
666811,18.546875
666812,19.75
666813,18.41015625
666814,17.849609375
666815,20.482421875
666816,17.986328125
666817,17.552734375
666818,18.515625
666819,19.720703125
666820,18.388671875
666821,17.822265625
666822,20.435546875
666823,17.978515625
666824,17.69921875
666825,18.6171875
666826,19.873046875
666827,18.48828125
666828,17.919921875
666829,20.552734375
666830,18.013671875
666831,17.525390625
666832,18.6328125
666833,19.884765625
666834,18.3828125
666835,17.935546875
666836,20.548828125
666837,18.015625
666838,17.482421875
666839,18.59765625
666840,20.099609375
666841,18.34375
666842,17.892578125
666843,20.505859375
666844,17.982421875
666845,17.494140625
666846,18.60546875
666847,20.107421875
666848,18.359375
666849,17.904296875
666850,20.45703125
666851,17.927734375
666852,17.587890625
666853,18.720703125
666854,20.11328125
666855,18.4453125
666856,18.044921875
666857,20.556640625
666858,18.021484375
666859,17.564453125
666860,18.6953125
666861,20.1875
666862,18.42578125
666863,18.0546875
666864,20.466796875
666865,17.998046875
666866,17.185546875
666867,18.337890625
666868,19.693359375
666869,18.046875
666870,17.66796875
666871,20.10546875
666872,17.623046875
666873,17.208984375
666874,18.38671875
666875,19.791015625
666876,18.07421875
666877,17.701171875
666878,20.162109375
666879,17.646484375
666880,17.298828125
666881,18.41015625
666882,19.7109375
666883,18.169921875
666884,17.763671875
666885,20.2109375
666886,17.701171875
666887,17.330078125
666888,18.46484375
666889,19.791015625
666890,18.275390625
666891,17.8984375
666892,20.107421875
666893,17.732421875
666894,18.173828125
666895,19.30859375
666896,20.486328125
666897,19.08984375
666898,18.732421875
666899,20.951171875
666900,18.642578125
666901,17.439453125
666902,18.5390625
666903,19.708984375
666904,18.30078125
666905,17.935546875
666906,20.177734375
666907,17.900390625
666908,17.412109375
666909,18.578125
666910,19.638671875
666911,18.3046875
666912,17.91015625
666913,20.134765625
666914,17.921875
666915,17.333984375
666916,18.443359375
666917,19.388671875
666918,18.19921875
666919,17.76171875
666920,20.025390625
666921,17.8671875
666922,17.333984375
666923,18.37890625
666924,19.380859375
666925,18.34375
666926,17.775390625
666927,20.021484375
666928,17.828125
666929,17.359375
666930,18.455078125
666931,19.392578125
666932,18.330078125
666933,17.734375
666934,20.033203125
666935,17.873046875
666936,17.2734375
666937,18.2421875
666938,19.310546875
666939,18.177734375
666940,17.669921875
666941,19.962890625
666942,18.068359375
666943,17.185546875
666944,18.15625
666945,19.224609375
666946,18.134765625
666947,17.541015625
666948,19.880859375
666949,18.005859375
666950,17.216796875
666951,18.16796875
666952,19.236328125
666953,18.111328125
666954,17.55078125
666955,19.908203125
666956,17.845703125
666957,17.138671875
666958,18.1328125
666959,19.201171875
666960,18.095703125
666961,17.435546875
666962,19.888671875
666963,17.888671875
666964,16.76171875
666965,17.7734375
666966,18.861328125
666967,17.701171875
666968,17.076171875
666969,19.517578125
666970,17.484375
666971,16.923828125
666972,18.03125
666973,19.154296875
666974,17.962890625
666975,17.333984375
666976,19.794921875
666977,17.7578125
666978,16.759765625
666979,17.8671875
666980,18.974609375
666981,17.7734375
666982,17.166015625
666983,19.697265625
666984,17.45703125
666985,16.931640625
666986,18.0859375
666987,19.146484375
666988,17.966796875
666989,17.341796875
666990,19.849609375
666991,17.7109375
666992,16.837890625
666993,18.06640625
666994,19.072265625
666995,17.6953125
666996,17.248046875
666997,19.744140625
666998,17.447265625
666999,16.923828125
667000,18.162109375
667001,19.150390625
667002,17.7890625
667003,17.333984375
667004,19.857421875
667005,17.5
667006,16.892578125
667007,18.166015625
667008,19.154296875
667009,17.7578125
667010,17.376953125
667011,19.802734375
667012,17.474609375
667013,16.994140625
667014,18.298828125
667015,19.24609375
667016,17.8515625
667017,17.48046875
667018,19.912109375
667019,17.427734375
667020,17.041015625
667021,18.30859375
667022,19.244140625
667023,17.875
667024,17.48046875
667025,19.912109375
667026,17.443359375
667027,17.05859375
667028,18.447265625
667029,19.181640625
667030,17.83203125
667031,17.48046875
667032,19.896484375
667033,17.404296875
667034,17.072265625
667035,18.453125
667036,19.216796875
667037,17.84375
667038,17.546875
667039,19.853515625
667040,17.412109375
667041,17.158203125
667042,18.435546875
667043,19.248046875
667044,17.94921875
667045,17.65234375
667046,19.884765625
667047,17.505859375
667048,17.154296875
667049,18.455078125
667050,19.224609375
667051,17.9296875
667052,17.705078125
667053,19.861328125
667054,17.486328125
667055,7.837890625
667056,8.697265625
667057,10.841796875
667058,8.017578125
667059,6.705078125
667060,8.998046875
667061,6.4765625
667062,7.861328125
667063,8.673828125
667064,10.81640625
667065,8.009765625
667066,6.685546875
667067,9.025390625
667068,6.51171875
667069,7.912109375
667070,8.728515625
667071,10.7578125
667072,8.09375
667073,6.74609375
667074,9.080078125
667075,6.560546875
667076,7.939453125
667077,8.796875
667078,10.78515625
667079,8.1796875
667080,6.71875
667081,9.103515625
667082,6.58984375
667083,8.794921875
667084,9.630859375
667085,11.640625
667086,9.029296875
667087,7.587890625
667088,9.958984375
667089,7.435546875
667090,8.009765625
667091,8.853515625
667092,10.85546875
667093,8.3125
667094,6.779296875
667095,9.173828125
667096,6.66015625
667097,7.990234375
667098,8.748046875
667099,10.8125
667100,8.255859375
667101,6.697265625
667102,9.134765625
667103,6.625
667104,7.962890625
667105,8.705078125
667106,10.703125
667107,8.130859375
667108,6.587890625
667109,9.025390625
667110,6.51953125
667111,7.919921875
667112,8.640625
667113,10.69921875
667114,8.119140625
667115,6.580078125
667116,9.017578125
667117,6.509765625
667118,8.0
667119,8.62890625
667120,10.755859375
667121,8.09375
667122,6.591796875
667123,9.033203125
667124,6.49609375
667125,7.9921875
667126,8.544921875
667127,10.7265625
667128,8.025390625
667129,6.509765625
667130,8.947265625
667131,6.41015625
667132,7.845703125
667133,8.484375
667134,10.6484375
667135,7.884765625
667136,6.423828125
667137,8.861328125
667138,6.32421875
667139,7.958984375
667140,8.369140625
667141,10.6484375
667142,7.90625
667143,6.431640625
667144,8.873046875
667145,6.33984375
667146,7.9296875
667147,8.330078125
667148,10.62890625
667149,7.904296875
667150,6.396484375
667151,8.837890625
667152,6.30078125
667153,7.5625
667154,7.978515625
667155,10.302734375
667156,7.5390625
667157,6.044921875
667158,8.478515625
667159,5.94140625
667160,7.607421875
667161,8.064453125
667162,10.51953125
667163,7.541015625
667164,6.150390625
667165,8.572265625
667166,6.03515625
667167,7.787109375
667168,8.236328125
667169,10.666015625
667170,7.646484375
667171,6.326171875
667172,8.744140625
667173,6.267578125
667174,7.65625
667175,8.142578125
667176,10.525390625
667177,7.556640625
667178,6.224609375
667179,8.650390625
667180,6.2421875
667181,7.673828125
667182,8.205078125
667183,10.611328125
667184,7.611328125
667185,6.302734375
667186,8.705078125
667187,6.26171875
667188,7.765625
667189,8.32421875
667190,10.681640625
667191,7.708984375
667192,6.408203125
667193,8.806640625
667194,6.35546875
667195,7.73046875
667196,8.474609375
667197,10.73046875
667198,7.724609375
667199,6.412109375
667200,8.818359375
667201,6.40234375
667202,7.67578125
667203,8.396484375
667204,10.67578125
667205,7.693359375
667206,6.3828125
667207,8.791015625
667208,6.37890625
667209,7.716796875
667210,8.490234375
667211,10.7734375
667212,7.787109375
667213,6.46875
667214,8.880859375
667215,6.552734375
667216,7.697265625
667217,8.5859375
667218,10.65625
667219,7.767578125
667220,6.443359375
667221,8.861328125
667222,6.52734375
667223,7.439453125
667224,8.275390625
667225,9.44921875
667226,8.263671875
667227,7.40234375
667228,10.494140625
667229,10.833984375
667230,7.462890625
667231,8.537109375
667232,9.53125
667233,8.349609375
667234,7.400390625
667235,10.521484375
667236,10.857421875
667237,7.517578125
667238,8.6015625
667239,9.576171875
667240,8.482421875
667241,7.494140625
667242,10.576171875
667243,11.046875
667244,7.548828125
667245,8.517578125
667246,9.412109375
667247,8.470703125
667248,7.50390625
667249,10.603515625
667250,11.0390625
667251,7.470703125
667252,8.462890625
667253,9.326171875
667254,8.447265625
667255,7.447265625
667256,10.525390625
667257,10.904296875
667258,7.5234375
667259,8.451171875
667260,9.326171875
667261,8.478515625
667262,7.359375
667263,10.55078125
667264,10.939453125
667265,7.529296875
667266,8.451171875
667267,9.333984375
667268,8.5703125
667269,7.3828125
667270,10.666015625
667271,10.888671875
667272,7.228515625
667273,8.10546875
667274,9.037109375
667275,8.33984375
667276,6.994140625
667277,10.376953125
667278,10.611328125
667279,7.275390625
667280,8.134765625
667281,9.044921875
667282,8.26171875
667283,7.001953125
667284,10.404296875
667285,10.595703125
667286,7.251953125
667287,8.00390625
667288,9.037109375
667289,8.2734375
667290,6.994140625
667291,10.501953125
667292,10.619140625
667293,7.359375
667294,7.94921875
667295,9.087890625
667296,8.19140625
667297,6.962890625
667298,10.44921875
667299,10.517578125
667300,7.443359375
667301,8.107421875
667302,9.314453125
667303,8.353515625
667304,7.076171875
667305,10.6875
667306,10.619140625
667307,7.392578125
667308,7.869140625
667309,9.248046875
667310,8.251953125
667311,7.037109375
667312,10.638671875
667313,10.591796875
